CODBAR,NOMBRE,Interpolate,air_qualityInterpolate,carbon_monoxideInterpolate,rainfallInterpolate,solar_radiationInterpolate,temperatureInterpolate,trees_densitytrees_density
"172",San Cristobal,60.0659590610,37.7323009090,0.3496856049,4.7943072438,198.8172120200,13.7207372270,3172.64448247555
"173",Butarque,60.5893200970,37.0798771520,0.3460522353,5.0165133528,195.9431853100,13.6649121180,578.448298463565
"175",Los Angeles,59.5928284240,38.6722036090,0.3537006983,4.4689303143,203.2790789200,13.8313800940,3984.75565837139
"174",Los Rosales,60.3722733240,37.7615205560,0.3507345139,5.3148405217,191.3719419800,12.0218888610,3810.34433220283
"171","Villaverde Alto, Casco Hist�rico de Villaverde",58.6358541390,38.8079678420,0.3542917248,4.2187615405,206.9482489900,14.2892924360,1144.74192276657
"121",Orcasitas,60.7537326230,41.5221449930,0.3536559042,4.4565502214,203.3497573900,15.4628635230,4558.53544442514
"183",Ensanche de Vallecas,61.5480897980,36.4556346210,0.3264426145,4.3185400202,210.0496307200,15.7808810760,2879.77176738828
"116",Buenavista,61.1270223990,38.0893754980,0.3656833442,4.4537250838,202.4249803300,15.7667311540,1773.46232353982
"106",Cuatro Vientos,64.0850313110,35.3463746400,0.3499261689,4.4989721745,201.0444046400,15.6469241990,270.31361424289
"123",San Ferm�n,60.7576399470,37.4829426700,0.3520494581,5.5920207934,187.4042358400,12.3133357680,2124.68542882164
"181",Casco Hist�rico de Vallecas,61.1382926140,36.1924742160,0.3328013670,4.6351245127,203.6178625200,15.0786169460,126.469181467566
"122",Orcasur,60.7796784200,38.7767132240,0.3544360585,4.9043446779,195.6921435500,15.1348196730,2132.31321893258
"126",Zof�o,62.2836951560,48.2382565250,0.3397241312,4.4865683891,200.7846733400,16.3130099220,3016.95041684739
"127",Pradolongo,61.5149630550,42.7807061830,0.3500922374,4.5914049813,199.0469704700,16.2123166230,5753.50161292699
"117",Abrantes,61.4798073930,44.9861122540,0.3582246333,4.4725492001,201.6238266800,16.2532611190,5702.4438072912
"115",Puerta Bonita,60.0678805980,37.9830219770,0.3902268571,4.4647500705,201.4388913900,16.1492662020,1733.87914207517
"124",Almendrales,61.0839561460,38.9867638560,0.3564637173,4.7793668195,195.8993023500,16.9599956440,1944.39674548457
"182",Santa Eugenia,62.7616565430,36.4509035750,0.3214386667,4.3362732058,210.3348675700,15.6610733650,2047.93413606213
"114",Vista Alegre,59.7264603990,35.7728111270,0.3952858266,4.4476111200,201.0738662100,16.1469069880,1660.197287727
"131",Entrev�as,60.5968975990,36.2694274290,0.3423945544,5.5621128937,188.4896434700,12.9629785910,1606.2198090992
"107",Aguilas,63.5342551220,34.8604505670,0.3507707733,4.4541103269,200.9218205000,15.7305602250,2162.18290175814
"134",Palomeras Sureste,60.2917397320,36.0379157090,0.3192376518,4.6961403104,206.0138969900,14.9102923850,2924.03795822296
"133",Palomeras Bajas,59.6884996320,35.9863078210,0.3272348596,4.9732091114,198.6263231200,15.9953411300,4063.9419407859
"024",Legazpi,59.3522454800,35.4566267400,0.3525759568,5.0092325772,194.1709326900,16.7738173170,4795.11408180451
"125",Moscard�,61.7755335850,42.3426238430,0.3543979695,4.5773289239,198.3348893600,17.0845253680,2508.13619738523
"112",Opa�el,61.3128032680,44.7726961930,0.3689428765,4.4793054476,200.2468197700,16.4875517720,1859.36206178233
"132",San Diego,60.6309474180,35.7269479910,0.3320490136,5.0234445411,196.5340404500,16.7306646440,1559.11074058659
"135",Portazgo,59.1824587080,35.9985254690,0.3163419236,4.7707166518,204.7631067800,15.4105181690,3061.18277195792
"111",Comillas,61.8880434420,43.1078076570,0.3607702851,4.5236140986,199.2318952800,16.7359970170,2092.08295868982
"105",Campamento,62.0815869040,34.3346915380,0.3401135454,4.5136729665,200.6092727200,15.5933373220,213.760852242689
"023",Chopera,61.2319290940,36.8348293300,0.3677118203,4.7049120694,197.4589526200,17.7761869680,1499.60103044652
"025",Delicias,57.9547088820,34.4976894330,0.3581366808,4.8175659117,196.8452845700,17.1783785140,2297.8880099506
"104",Aluche,59.7903210030,34.0139216140,0.3596484301,4.3967908776,200.8610075400,15.8833868690,1783.42023305233
"141",Pavones,60.8512144980,35.8949557710,0.3117051209,4.7573394838,207.7799639000,13.6471441680,3044.75055292706
"193",Valderrivas,62.0711381700,35.7175222000,0.3189747977,4.3953484794,207.0604754400,15.3645262820,3465.35876778754
"113",San Isidro,58.6973400950,35.3407548930,0.4325461008,4.4617328087,200.3824828700,16.5798444680,2409.12279002816
"192",Valdebernardo,61.5579996110,35.8889854350,0.3164691048,4.5407463079,207.6339192500,14.9388148530,2356.38395169019
"136",Numancia,60.7265678690,35.8685323990,0.3170052177,4.7575848494,202.5149847100,16.5723490230,2381.55448482914
"032",Adelfas,61.3737794560,35.1857037210,0.3277172295,4.8085746960,199.1843148900,16.9331064020,3207.68913020651
"022",Acacias,62.2274794950,37.9202000970,0.3829164257,4.5863571286,198.9642948300,16.8915710930,3297.16743027907
"031",Pac�fico,61.6268566680,33.9790772870,0.3319913068,4.7715385877,198.7620728100,16.6723369600,2262.5569283488
"026",Palos de Moguer,62.7867412970,35.2376598880,0.3723112136,4.7055763285,198.3402072500,16.9644648810,2335.10326401867
"145",Fontarr�n,60.6641398440,35.9866127560,0.3089746026,4.7362910190,206.1368111600,15.0947351720,4354.82335064464
"027",Atocha,60.2496988510,34.3415507190,0.3442533347,4.8469928503,197.4528163000,16.7235159870,1344.30101470605
"101",C�rmenes,58.7668237080,33.8828299810,0.4076375207,4.3857769081,200.6452108200,16.3110066930,3535.45470664118
"146",Vinateros,60.5483838940,36.0439033510,0.3057153545,4.7335670428,206.9451099700,15.0391342700,3595.90360921175
"103",Lucero,58.2988294490,31.2615088310,0.3320301044,4.2989910599,200.9754814000,15.7600736940,4105.47923584912
"142",Horcajo,61.1054095180,35.6291714060,0.3108443401,4.6470780193,206.7755712300,14.5329954620,3097.51658820918
"021",Imperial,61.2906080050,37.3931002260,0.3926418249,4.4951585809,199.8178818400,16.4563097350,2349.40973367808
"012",Embajadores,63.8096609770,36.5270400490,0.4039408909,4.6276771636,199.1629919400,16.7035225820,1560.24597864674
"143",Marroquina,60.8200335540,35.9234112420,0.3069041357,4.6627607235,206.0788041900,15.2059027350,2639.68191991283
"036",Ni�o Jes�s,63.1622418720,34.6092788340,0.3129166727,4.6728949547,200.2239864800,16.5362794710,2005.00632280071
"102",Puerta del Angel,59.3440844350,33.7461360070,0.3691199348,4.3433107697,200.5277512200,16.0941788260,1692.23976647216
"144",Media Legua,61.6441867620,36.0290949200,0.3114907677,4.6100871913,203.1729710500,16.0686612830,2570.03597382946
"013",Cortes,64.8491303700,36.2944427120,0.4063102331,4.6629409790,199.3523151500,16.7252875280,1701.38454883745
"016",Sol,62.5437796620,36.5368925330,0.4406161965,4.6221838892,199.4898215200,16.7839591500,1175.89157416276
"033",Estrella,62.6413365170,36.1239061990,0.3145685759,4.6041168849,201.5049298600,16.3899108990,3848.48977670508
"035",Jer�nimos,65.2652757220,33.7189273970,0.3201737188,4.6850507362,199.5087744800,16.5668598880,849.555738202883
"034",Ibiza,64.1374458510,38.8160880410,0.2966616914,4.5996370724,200.6742643700,16.5057812240,1989.60323429501
"011",Palacio,62.4328579640,37.5650314750,0.4088753750,4.5289415155,199.6375892300,16.4611416410,1932.18141040859
"204",Arcos,61.0847216150,34.8726654050,0.3108682205,4.2850642893,203.6430876700,15.2524660870,3432.22879396189
"042",Goya,63.9734079500,40.6816125280,0.2972568702,4.5362605268,200.8603396300,16.5120099390,2544.1568398423
"203",Amposta,61.0388978810,34.6603628090,0.3081260145,4.1719388255,202.7660119600,15.3277447040,4767.49776297669
"014",Justicia,65.0104185510,37.2301961460,0.3991466910,4.6872957548,199.6813256600,16.9183209740,1871.46699673084
"041",Recoletos,65.6391812280,43.1883335420,0.3012002006,4.6499290100,200.1130472000,16.5950155570,3153.0834222505
"015",Universidad,63.1128113690,37.8120468480,0.4221277578,4.6431222365,199.5088591600,16.5539466910,1566.21821216502
"043",Fuente del Berro,62.8743013050,36.9845343090,0.3125516279,4.4272865946,201.7105431600,16.2072249650,2226.42817569898
"151",Ventas,61.6927313540,35.8011672540,0.3088552822,4.4130968155,203.5074231000,15.6728050530,1645.7440706157
"202",Hell�n,60.8581487660,34.1271205800,0.3085707440,3.9777903808,201.2326122500,15.3643743280,5169.78695109205
"092",Arg�elles,62.6651481220,37.9405836180,0.4023264905,4.4846408576,199.3018569900,16.1311018510,1898.81914867341
"045",Lista,63.9338859760,38.7488611580,0.3106406600,4.4851002938,200.8965192500,16.4506650110,3172.35896804117
"152",Pueblo Nuevo,61.0911381660,35.0216380960,0.3042046192,4.2609337787,203.2370289400,15.4206813370,3817.97175713523
"046",Castellana,65.4002424760,37.6989227990,0.3226513963,4.6377540973,200.4207559300,16.6483633650,3947.38855139752
"074",Almagro,65.9716241180,36.6805056060,0.3605259571,4.7605440439,199.9216526600,17.2928855450,3028.87654397307
"073",Trafalgar,64.3699194300,36.9810351050,0.3928236467,4.7814522898,199.6200348600,17.2262424120,2300.97864052869
"072",Arapiles,63.6213016070,37.4166550750,0.3979908302,4.7614951892,199.3812355000,16.5297790530,2152.31847855893
"071",Gaztambide,63.1083829730,37.3595741270,0.3949156322,4.6435801230,199.1657756100,16.2420320780,2362.70811626389
"153",Quintana,60.9776075830,34.8202180860,0.2996437836,3.9630246567,201.5802826500,15.5855684830,2270.47083027677
"201",Simancas,60.7718523430,33.9978023320,0.3035506646,3.8732653583,200.5723627900,15.3995643590,1850.39496737393
"044",Guindalera,63.3069229770,37.1167726680,0.3160650551,4.1999484814,201.5215605400,16.0771872920,3526.25942473722
"154",Concepci�n,61.5478995100,35.1544448850,0.3028061605,3.8996023312,201.5930120100,15.6012448810,2940.58298127195
"075",Rios Rosas,64.5510231130,36.1656155590,0.3641462393,4.9838928032,199.7064609800,16.6078301600,1701.76954465206
"076",Vallehermoso,63.6455830570,37.3655517470,0.3748031253,4.9148230166,199.0720226100,16.2328447750,1707.33392087455
"155",San Pascual,62.1832308020,35.4788253990,0.3070315512,3.7643975095,201.8705489700,15.4877297000,1616.46868835448
"207",Canillejas,60.1788679540,32.0455128620,0.3098194475,3.4801636789,197.9328502600,15.3542348460,1701.26121634178
"205",Rosas,60.4995295450,34.6879925760,0.3159439248,4.0431561646,201.8198094600,15.3842217760,535.932447021195
"208",Salvador,60.5970369420,33.4239645920,0.3004607162,3.5752990472,199.2646570800,15.3501978130,2228.32117948217
"206",Rejas,59.4800357290,35.4572381970,0.3189037907,3.9516261963,200.3610672600,15.4291805370,1062.28977553798
"091",Casa de Campo,57.3303032070,29.8814567170,0.2950090684,4.2266294739,200.1974229100,15.2261781660,335.117978710342
"051",El Viso,64.8079257340,36.5585771770,0.3384128322,4.7048406404,200.5793907600,16.3564820100,2594.25404234527
"053",Ciudad Jard�n,65.3270701360,38.1200596790,0.3258094936,4.0926576354,201.6082480700,15.8322331340,2621.7463911202
"052",Prosperidad,64.1257788090,37.2243560900,0.3211589717,4.0201259883,201.6680267300,15.8414798560,2824.50925737436
"156",San Juan Bautista,62.7568028240,35.7175059850,0.3112908266,3.4078067638,202.4292250100,14.9708814890,3439.38028242762
"062",Cuatro Caminos,64.0785820180,36.6190528870,0.3508943295,5.3369954502,199.6421523000,16.2237515620,2857.53717518215
"161",Palomas,59.6435831330,29.1064139960,0.3083212963,3.1732557698,196.0308030300,15.3039905760,2512.47232369658
"061",Bellas Vistas,63.6124312460,37.1323457130,0.3552207118,5.4826222027,198.9693588800,16.1116842570,1150.26363157415
"054",Hispanoam�rica,65.0103748490,37.6857783720,0.3292452151,4.2823099419,201.4312800100,15.6189068470,2844.33759090877
"162",Piovera,60.7889118110,32.3649430380,0.3045938025,3.3477551104,199.0422391900,15.1453190940,1638.02989683334
"157",Colina,63.2076063390,35.8821611400,0.3144008328,3.1410204201,202.9874632300,14.3256348400,2663.81323341447
"066",Berruguete,63.2488029650,36.3486783290,0.3434402400,6.0129842228,198.8425528800,15.7834460850,571.760755820022
"211",Alameda de Osuna,58.8032626970,35.3476198990,0.3150625538,3.5571431518,197.9521508600,15.3768363720,1313.71103148087
"063",Castillejos,64.2663822170,36.6055539450,0.3396377044,5.6808940196,199.6616510100,15.8702459520,2526.33294723031
"097",Aravaca,60.0197015300,32.2429043830,0.3239649891,4.5531291502,199.3595105800,15.1895898500,1507.03913283606
"158",Atalaya,63.3073681730,35.7818163700,0.3146088602,3.2796713246,202.8550352200,14.4675360290,3045.30713939901
"055",Nueva Espa�a,64.3997739060,36.7814477840,0.3260924333,4.4532935657,201.4219000100,15.4345666770,1806.50769401663
"163",Canillas,61.6170267290,33.4308795610,0.3077563673,3.2317323749,201.1804601600,14.6396932660,1883.19037755646
"215",Corralejos,59.2504348200,30.3812371050,0.3117207140,3.2252644601,196.1884403800,15.3115534780,542.996373145087
"094",Valdezarza,62.0165371890,35.6795518450,0.3380474081,5.7591176552,198.1527514900,14.8617869100,1993.92346392032
"065",Valdeacederas,62.5744337390,35.9181484130,0.3355542866,6.7086705424,198.5957993500,15.2590047790,3088.20217712385
"064",Almenara,63.6342974080,36.1419603030,0.3321055823,6.3592191140,199.3548276700,15.4608922350,1780.36016924886
"095",Valdemar�n,60.2364678000,31.6374625760,0.3295360020,4.7278961301,199.2622563000,15.1840330430,733.103120688636
"213",Casco Hist�rico de Barajas,60.1271144470,35.8988492870,0.3172936083,3.7923551420,198.9100811000,15.4142250670,1234.22917900143
"093",Ciudad Universitaria,61.1660795550,34.2570207350,0.3373071562,4.6108697845,198.3115146900,14.7974459170,167.252010567486
"096",El Plant�o,60.3610732880,31.6347770160,0.3331770902,4.7255071636,199.7957747600,15.3401608500,555.329770176525
"164",Pinar del Rey,61.7478291630,33.5701357760,0.3041171886,3.3626827044,201.5328365900,14.7130856860,2755.00391956574
"165",Apostol Santiago,62.1314616090,33.7362029420,0.2984028475,3.5396087545,202.2321365700,14.7507834600,2853.08188999363
"056",Castilla,63.2127910960,35.2479094000,0.3179617005,4.9340883876,200.8817223000,15.3752179840,1404.30808167495
"159",Costillares,62.4551832540,34.0937961130,0.3027977777,4.0031332099,201.8417578300,15.0289761850,2859.02821917197
"084",Pilar,60.6824428290,35.6833038720,0.3314401411,7.9847099638,198.0178295800,14.3677382420,3417.7728438807
"083",Pe�agrande,61.0433872840,34.8218518900,0.3333403859,5.3836898921,197.9794660900,14.2789840100,2131.72500192436
"085",La Paz,61.6724300010,34.4065654680,0.3285506993,6.8919840669,199.0243677900,15.1422279920,2264.66890187514
"082",Fuentelareina,60.9776847690,33.3100806430,0.3342378695,5.3785861129,198.4788595600,14.9114632750,792.419969850919
"214",Tim�n,59.8782485140,33.2717331960,0.3127887252,3.4898207374,197.4573098700,15.3496638180,1153.13910969182
"212",Aeropuerto,59.7897292370,35.4811106760,0.3193213953,4.0079523381,199.8687204600,15.4397665300,21.4767094674883
"166",Valdefuentes,61.0445118640,32.5798479630,0.2980173994,3.9325538485,199.7093418700,15.2803054680,976.413957521453
"087",Mirasierra,60.5537367090,32.8374714990,0.3307843251,6.2549928026,198.5129668900,14.8368514910,1140.58615660646
"086",Valverde,59.7243107600,30.0181083620,0.3033607461,5.3573595850,200.0307531800,15.3116125480,1387.65626105339
"088",El Goloso,60.3545882660,31.4769832510,0.3212963861,5.3749850328,199.5981551500,15.2916388950,153.864852182843
"081",El Pardo,60.0459073560,29.5011686930,0.3308451240,4.9474883375,199.7732206700,15.2130233930,10.5169743594012
"191",Casco hist�rico de Vic�lvaro,61.9272345910,35.6467105570,0.3231668402,4.3663818408,206.1810550700,15.4698474280,432.061193551732
"194",El Ca�averal,60.9821894740,35.3089079640,0.3246106285,4.3286780299,203.4770817200,15.4675593760,0
